id,terrestrial_date,sol,ls,month,min_temp,pressure,year_month,year_month_ls,terrestrial_days
1220,2016-03-24,1291,126,5,-80.0,760.0,2016-03-126,2016-03-126,1316
1222,2016-03-25,1292,127,5,-81.0,760.0,2016-03-127,2016-03-127,1317
191,2012-09-25,49,177,6,-74.0,761.0,2012-09-177,2012-09-177,40
192,2012-09-26,50,177,6,-72.0,761.0,2012-09-177,2012-09-177,41
569,2014-05-10,625,128,5,-81.0,761.0,2014-05-128,2014-05-128,632
664,2014-08-16,721,179,6,-73.0,761.0,2014-08-179,2014-08-179,730
666,2014-08-18,723,180,7,-73.0,761.0,2014-08-180,2014-08-180,732
193,2012-09-27,51,178,6,-76.0,762.0,2012-09-178,2012-09-178,42
194,2012-09-28,52,179,6,-74.0,762.0,2012-09-179,2012-09-179,43
1859,2018-01-18,1938,116,4,-78.0,762.0,2018-01-116,2018-01-116,1981
568,2014-05-09,624,127,5,-82.0,762.0,2014-05-127,2014-05-127,631
1219,2016-03-21,1288,125,5,-80.0,763.0,2016-03-125,2016-03-125,1313
667,2014-08-19,724,181,7,-74.0,763.0,2014-08-181,2014-08-181,733
1854,2018-01-17,1937,116,4,-80.0,763.0,2018-01-116,2018-01-116,1980
565,2014-05-07,622,126,5,-84.0,763.0,2014-05-126,2014-05-126,629
566,2014-05-08,623,127,5,-83.0,763.0,2014-05-127,2014-05-127,630
1218,2016-03-20,1287,124,5,-80.0,764.0,2016-03-124,2016-03-124,1312
1855,2018-01-16,1936,115,4,-79.0,764.0,2018-01-115,2018-01-115,1979
195,2012-09-29,53,179,6,-71.0,764.0,2012-09-179,2012-09-179,44
669,2014-08-21,725,181,7,-73.0,764.0,2014-08-181,2014-08-181,735
563,2014-05-05,620,125,5,-83.0,765.0,2014-05-125,2014-05-125,627
1215,2016-03-19,1286,124,5,-80.0,765.0,2016-03-124,2016-03-124,1311
564,2014-05-06,621,126,5,-82.0,765.0,2014-05-126,2014-05-126,628
1853,2018-01-15,1935,115,4,-80.0,765.0,2018-01-115,2018-01-115,1978
196,2012-09-30,54,180,7,-72.0,766.0,2012-09-180,2012-09-180,45
197,2012-10-01,55,180,7,-74.0,766.0,2012-10-180,2012-10-180,46
1217,2016-03-18,1285,123,5,-80.0,766.0,2016-03-123,2016-03-123,1310
668,2014-08-22,726,182,7,-75.0,766.0,2014-08-182,2014-08-182,736
670,2014-08-24,728,183,7,-74.0,766.0,2014-08-183,2014-08-183,738
671,2014-08-23,727,182,7,-76.0,766.0,2014-08-182,2014-08-182,737
560,2014-05-04,619,125,5,-82.0,766.0,2014-05-125,2014-05-125,626
1851,2018-01-14,1934,114,4,-79.0,766.0,2018-01-114,2018-01-114,1977
1852,2018-01-13,1933,114,4,-78.0,767.0,2018-01-114,2018-01-114,1976
1214,2016-03-16,1283,123,5,-82.0,767.0,2016-03-123,2016-03-123,1308
1216,2016-03-17,1284,123,5,-80.0,767.0,2016-03-123,2016-03-123,1309
1850,2018-01-12,1932,113,4,-79.0,768.0,2018-01-113,2018-01-113,1975
1213,2016-03-15,1282,122,5,-81.0,768.0,2016-03-122,2016-03-122,1307
198,2012-10-02,56,181,7,-73.0,768.0,2012-10-181,2012-10-181,47
